GEOID,eff_cameras_within_200m,eff_cameras,cameras_within_200m,cameras
36005014702,2.26829885669978,0.7476018045846499,4,0
36005014900,2.6053467212432535,0.3720662019434379,3,0
36005015100,3.9168092098806904,1.8013284482843002,8,2
36005015200,1.1784250856730307,0.10146131098362166,2,0
36005015300,3.1964364004740022,1.4166845341445637,5,5
36005015500,1.717013383303098,0.08941345599984032,2,0
36005015700,1.5008909565689086,0.47236327499454084,3,2
36005015800,1.9990862730023393,0.30560266983471834,5,0
36005015900,1.2805948136918375,0.4882035116569432,1,0
36005016100,2.232573370474218,0.685687934992793,3,0
36005016300,7.635229269984163,2.2694537048509686,13,0
36005016400,0.12953791640767406,0,0,0
36005016500,4.035978336527313,0.9997331345341479,7,3
36005016700,4.029578168060765,0.8754826599457186,7,4
36005016900,2.3958222063378933,0.4959465157286551,5,1
36005017100,3.2998717181406825,0.22035953505149275,4,0
36005017300,5.033376784357282,1.4872618992352546,11,1
36005017500,3.631459190007537,0.5561554826587543,8,1
36005017701,2.140962993513996,0,3,0
36005017702,3.979705101754435,0.8306210025328302,6,1
36005017901,2.1949455984096273,0.7191654373734772,3,0
36005017902,4.825402338641345,1.2587022077003924,14,4
36005018101,2.385645336851653,0.11409103664169752,4,0
36005018102,1.3629672941517945,0.44155597195517904,2,2
36005018301,2.7887223679208004,0.5362552347218295,5,0
36005018302,4.2864662871156405,0.5971461142550104,9,2
36005018400,2.605922966983864,1.4313638858806064,4,1
36005018500,4.179407079770517,0.9495296988932276,8,0
36005018900,3.4989501037874664,0.9803891492819182,4,1
36005019300,1.7021354389474317,0.228293088190013,3,0
36005019400,2.309957242857364,0.7340595139657615,3,2
36005019500,5.748077829094008,1.4207376225373907,8,4
36005019700,4.109364721886996,1.0233240298794448,7,1
36005019900,2.060633652828006,0.7534100361340846,2,1
36005020000,3.9142419672683055,1.608423033274519,6,2
36005020100,2.1719212792148794,0.3437552153080044,3,2
36005020200,1.1270450116232338,0.5305584085978678,2,2
36005020400,0.1989196735340109,0,0,0
36005020501,5.403522313860415,1.525642883097248,9,1
36005020502,3.839089351283784,0.9956391296866111,9,2
36005020601,0.9995431365015598,0.44736918107185053,1,0
36005020900,6.298083811855318,1.7261669317188395,16,4
36005021001,0.3312856897087605,0,0,0
36005021002,0.3517757863071387,0,0,0
36005021100,2.3926814776640586,0.03476118346811283,2,0
36005021200,0.35092210926295625,0,0,0
36005021301,3.9553049001342107,0.8943866676406983,3,0
36005021302,4.621899928678101,1.0865195806952748,9,1
36005021501,6.506771284003418,1.519746414585514,11,3
36005021502,8.798906590679639,2.2228278037499387,17,4
36005021601,1.979317605146012,0.4646092232273505,3,0
36005021602,1.9990862730017598,0.6017354977891217,3,2
36005021700,8.841837890144939,2.1732720899496023,16,7
36005021800,1.8380216563549614,0.4876718987184717,3,0
36005021900,6.128007348559029,0.7839808095257627,14,0
36005022000,4.2210668153271165,0.18972005209393134,8,0
36005022101,4.155647204407607,0.8788702168182871,9,3
36005022102,5.978505706689703,0.6213942798493465,22,1
36005022200,1.480182493766817,0.5394169423824687,2,1
36005022300,6.572908055841645,1.6234082793445777,22,9
36005022401,2.6584134752827056,0.6714183241537569,11,5
36005022403,2.8058075062130015,0.5367128242439336,11,2
36005022404,1.2149722223734984,0.4535301743083569,2,0
36005022500,6.509672631612311,2.24111103591834,17,5
36005022701,7.785623483016045,1.967456379872912,22,2
36005022702,4.252416201391426,0.535858563460311,8,1
36005022703,2.8851495004079406,0.43122511887052684,4,2
36005022800,1.9929401728266478,0.2817950269669179,3,0
36005022901,5.967729582115818,1.1562495327854017,16,2
36005022902,3.5249743008865186,0.6504135714611016,4,1
36005023000,1.8843859100571727,0.5150949969684966,3,2
36005023100,3.0267368848805676,0.24364514389924746,6,0
36005023200,1.2045016805617814,0.25077323831487447,2,0
36005023301,7.208953802107238,1.3648455460911,22,6
36005023302,3.800888284560303,0.6865134721770504,15,6
36005023501,5.0498258649038785,0.9438850197110662,14,4
36005023502,6.4037909072413,0.9493682466559462,17,0
36005023600,1.999086273001249,0.28978692429255987,4,0
